,somite_index,n_mps,n_mps_manual,Fish_id,image_path,whole_img_path
0,0,2,4,Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00,"['/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00_somite_0_mp_23.png', '/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00_somite_0_mp_36.png']",/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00_whole_outlined.png
1,1,4,3,Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00,"['/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00_somite_1_mp_32.png', '/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00_somite_1_mp_33.png', '/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00_somite_1_mp_34.png', '/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00_somite_1_mp_40.png']",/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00_whole_outlined.png
2,2,4,4,Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00,"['/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00_somite_2_mp_20.png', '/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00_somite_2_mp_29.png', '/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00_somite_2_mp_31.png', '/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00_somite_2_mp_39.png']",/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00_whole_outlined.png
3,3,3,2,Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00,"['/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00_somite_3_mp_18.png', '/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00_somite_3_mp_27.png', '/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00_somite_3_mp_28.png']",/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00_whole_outlined.png
4,4,3,4,Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00,"['/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00_somite_4_mp_15.png', '/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00_somite_4_mp_24.png', '/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00_somite_4_mp_25.png']",/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00_whole_outlined.png
5,5,3,4,Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00,"['/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00_somite_5_mp_8.png', '/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00_somite_5_mp_21.png', '/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00_somite_5_mp_22.png']",/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00_whole_outlined.png
6,6,2,4,Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00,"['/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00_somite_6_mp_16.png', '/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00_somite_6_mp_17.png']",/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00_whole_outlined.png
7,7,7,3,Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00,"['/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00_somite_7_mp_5.png', '/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00_somite_7_mp_6.png', '/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00_somite_7_mp_9.png', '/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00_somite_7_mp_10.png', '/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00_somite_7_mp_11.png', '/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00_somite_7_mp_12.png', '/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00_somite_7_mp_13.png']",/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F00_whole_outlined.png
0,0,3,3,Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F01,"['/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F01_somite_0_mp_21.png', '/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F01_somite_0_mp_23.png', '/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F01_somite_0_mp_29.png']",/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F01_whole_outlined.png
1,1,2,3,Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F01,"['/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F01_somite_1_mp_19.png', '/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F01_somite_1_mp_28.png']",/Users/quillan/Documents/Lab/Thesis/Chevron Analysis/Analysis_1/processed_images/Inpp5e_2dpf_4D9-488_DAPI_2024-04-19_F01_whole_outlined.png
